stateTime,ProveCommitSector,PreCommitSector,ProveCommitAggregate,PreCommitSectorBatch,PublishStorageDeals,SubmitWindowedPoSt,Others
"2020-12-10","29377.9047","11970.9723","0.0000","0.0000","55.1529","5982.1531","55.2236"
"2020-12-11","29465.9590","11379.7792","0.0000","0.0000","28.9410","6012.8232","55.8294"
"2020-12-12","29282.6134","11535.7426","0.0000","0.0000","21.7065","6132.3185","70.8984"
"2020-12-13","28906.5926","11388.2777","0.0000","0.0000","16.7149","6211.1224","58.7788"
"2020-12-14","28702.3133","11017.4349","0.0000","0.0000","38.0835","6247.7811","58.6452"
"2020-12-15","28824.2672","10968.4562","0.0000","0.0000","48.2563","6268.4360","66.6654"
"2020-12-16","28392.5717","10836.5728","0.0000","0.0000","76.9542","6322.8064","61.2887"
"2020-12-17","28648.2346","10784.7382","0.0000","0.0000","103.4761","6379.0307","75.8842"
"2020-12-18","21683.5500","8043.2569","0.0000","0.0000","86.6850","4847.6210","46.2064"
"2020-12-19","25228.1414","9874.3537","0.0000","0.0000","35.5520","6230.5975","689.0595"
"2020-12-20","28548.3028","11124.6682","0.0000","0.0000","58.6299","6596.3463","116.4683"
"2020-12-21","27161.5589","11717.4759","0.0000","0.0000","81.8945","6717.4502","58.0014"
"2020-12-22","27731.8584","10983.0437","0.0000","0.0000","72.5894","6806.7249","60.5787"
"2020-12-23","28241.5082","11044.4629","0.0000","0.0000","34.2072","6851.8595","60.5596"
"2020-12-24","28501.1380","11179.1455","0.0000","0.0000","42.5852","6908.3554","58.9552"
"2020-12-25","28965.3706","10454.8694","0.0000","0.0000","44.7846","7019.5059","57.6082"
"2020-12-26","28936.2937","10916.0813","0.0000","0.0000","33.8036","7087.6006","50.6233"
"2020-12-27","28199.7203","10125.6289","0.0000","0.0000","78.6152","7140.0192","53.6233"
"2020-12-28","28968.1645","10673.8170","0.0000","0.0000","53.4438","7222.6784","61.1016"
"2020-12-29","28653.2513","10292.5743","0.0000","0.0000","75.7212","7273.0599","57.7934"
"2020-12-30","28303.9369","10052.9549","0.0000","0.0000","78.7462","7353.7188","56.4984"
"2020-12-31","29154.8987","10218.6648","0.0000","0.0000","98.6889","7418.3126","53.1239"
"2021-01-01","30520.8648","10937.9600","0.0000","0.0000","96.3355","7491.7830","52.3204"
"2021-01-02","28655.2248","10213.9063","0.0000","0.0000","123.8887","7578.4024","53.6507"
"2021-01-03","29006.3864","10230.1067","0.0000","0.0000","188.2692","7640.6915","55.9307"
