series,adf_stat,adf_p,kpss_stat,kpss_p
Commit Pledge per 32GiB QAP,-1.8875465063056387,0.3379421150557098,2.461878041182647,0.01
FILUSD,-2.18675160873328,0.21108894822741353,2.9434200970221034,0.01
QAP,-3.202082699642689,0.0198644404563372,5.320423447097337,0.01
gap,-1.8690617534189367,0.34675242915825844,2.6411982592041174,0.01
daily_onboard_QAP,-3.0534652038317627,0.03019418744708252,0.3188348461034848,0.1
Active Faults,-4.7875994377956825,5.74357464466927e-05,1.5251125862688504,0.01
