,Commit Pledge per 32GiB QAP,Protocol Circulating Supply,Total FIL Mined,Total FIL Vested,Fil Reserve Disbursed,Total FIL Burned,Total FIL Locked,Network QA Power,Network RB Power,Baseline Power,Active Faults,Block Rewards per WinCount,stateTime,FIL-USD,BTC-USD,ETH-USD,onboard_32G,onboard_64G,daily_onboard_QAP,dlog_FILUSD,dlog_QAP,est_20-day_reward,consensus_term,Pledge_theory,gap
33,0.2109,33.06,11.79,25.46,17.07,-4.03,-17.22,0.93,0.93,2.94,8.03,13.17,2020-11-15,27.825685501098633,15955.587890625,447.55908203125,16.37,0.0,0.5115625,-0.05346552459139309,0.01081091610421564,3.6559139784946217,3.3734693877551023,7.029383366249724,-6.818483366249724
34,0.2118,33.78,11.97,26.24,17.07,-4.1,-17.4,0.95,0.95,2.95,9.61,13.25,2020-11-16,27.53513526916504,16716.111328125,459.9403076171875,15.85,0.0,0.4953125,-0.010496697687552459,0.021277398447284795,3.789473684210558,3.4352542372881354,7.224727921498694,-7.012927921498694
35,0.2138,34.47,12.15,27.03,17.07,-4.17,-17.6,0.97,0.97,2.95,9.87,13.35,2020-11-17,29.247806549072266,17645.40625,480.3600769042969,16.71,0.0,0.5221875,0.060341745762011456,0.020834086902842004,3.7113402061855614,3.505423728813559,7.21676393499912,-7.00296393499912
36,0.2148,35.16,12.33,27.81,17.07,-4.25,-17.8,0.98,0.98,2.96,9.77,13.45,2020-11-18,28.882556915283203,17804.005859375,479.48406982421875,16.3,0.0,0.509375,-0.012566735137369722,0.010256500167189108,3.6734693877550963,3.563513513513513,7.236982901268609,-7.022182901268609
37,0.2154,35.85,12.51,28.6,17.07,-4.33,-18.0,1.0,1.0,2.96,7.65,13.55,2020-11-19,28.700035095214844,17817.08984375,471.63043212890625,16.17,0.0,0.5053125,-0.006339500358701677,0.020202707317519466,3.5999999999999943,3.633445945945946,7.23344594594594,-7.01804594594594
38,0.2163,36.59,12.7,29.39,17.07,-4.35,-18.21,1.01,1.01,2.97,9.58,13.64,2020-11-20,29.09977149963379,18621.314453125,509.74456787109375,16.75,0.0,0.5234375,0.013831976305743066,0.009950330853168092,3.7623762376237524,3.6959595959595957,7.458335833583348,-7.242035833583348
39,0.2182,37.29,12.88,30.17,17.07,-4.44,-18.39,1.03,1.03,2.97,9.57,13.74,2020-11-21,29.90241050720215,18642.232421875,549.4866333007812,16.3,0.0,0.509375,0.027208774216721743,0.019608471388376337,3.4951456310679903,3.766666666666666,7.261812297734656,-7.043612297734656
40,0.219,38.03,13.06,30.96,17.07,-4.46,-18.59,1.05,1.05,2.98,6.78,13.84,2020-11-22,29.709884643554688,18370.001953125,558.068115234375,15.97,0.0,0.4990625,-0.00645928939817475,0.01923136192788762,3.428571428571423,3.8285234899328864,7.257094918504309,-7.038094918504309
41,0.2201,38.84,13.25,31.74,17.07,-4.47,-18.76,1.06,1.06,2.98,7.73,13.92,2020-11-23,29.2060489654541,18364.12109375,608.4540405273438,11.02,0.0,0.344375,-0.01710396254741342,0.009478743954543775,3.584905660377349,3.9100671140939602,7.494972774471309,-7.274872774471309
42,0.2373,44.57,13.45,37.46,17.07,-4.47,-18.93,1.07,1.07,2.99,12.59,13.99,2020-11-24,30.162628173828125,19107.46484375,603.8977661132812,10.89,0.0,0.3403125,0.03222783621375225,0.00938974034983904,3.7383177570093324,4.47190635451505,8.210224111524383,-7.9729241115243825
43,0.2398,45.18,13.64,38.1,17.07,-4.48,-19.15,1.09,1.09,3.0,11.35,14.07,2020-11-25,30.97322654724121,18732.12109375,570.6866455078125,17.07,0.0,0.5334375,0.026519491164519682,0.018519047767237548,3.486238532110115,4.518,8.004238532110115,-7.764438532110115
44,0.2395,45.72,13.84,38.75,17.07,-4.58,-19.35,1.1,1.1,3.0,10.67,14.18,2020-11-26,29.92854881286621,17150.623046875,518.8011474609375,17.34,0.0,0.541875,-0.0343103368991895,0.009132483563272523,3.6363636363636234,4.572,8.208363636363623,-7.968863636363624
45,0.2398,46.25,14.03,39.4,17.07,-4.7,-19.55,1.11,1.11,3.01,13.14,14.23,2020-11-27,29.921663284301758,17108.40234375,517.4937133789062,15.83,0.0,0.4946875,-0.00023009203655455224,0.00904983551991792,3.423423423423414,4.6096345514950166,8.033057974918432,-7.793257974918432
46,0.2407,46.82,14.23,40.05,17.07,-4.75,-19.78,1.14,1.14,3.01,5.87,14.39,2020-11-28,29.986433029174805,17717.4140625,538.2297973632812,17.3,0.0,0.540625,0.0021623043994041247,0.026668247082161145,3.5087719298245803,4.666445182724253,8.175217112548832,-7.934517112548832
47,0.2398,47.35,14.43,40.7,17.07,-4.87,-19.97,1.15,1.15,3.02,8.38,14.47,2020-11-29,30.01217269897461,18177.484375,575.758056640625,16.26,0.0,0.508125,0.0008580089842591399,0.008733679968754626,3.4782608695652053,4.703642384105961,8.181903253671166,-7.942103253671166
48,0.2415,47.86,14.63,41.34,17.07,-5.0,-20.18,1.17,1.17,3.02,9.9,14.56,2020-11-30,30.371749877929688,19625.8359375,614.842529296875,17.01,0.0,0.5315625,0.011909840034584285,0.01724180643450607,3.4188034188034373,4.754304635761589,8.173108054565025,-7.931608054565025
49,0.2423,48.35,14.84,41.99,17.07,-5.16,-20.39,1.18,1.18,3.03,10.7,14.65,2020-12-01,30.22695541381836,18802.998046875,587.3241577148438,17.12,0.0,0.535,-0.004778806377791156,0.008510689667908633,3.55932203389829,4.787128712871287,8.346450746769577,-8.104150746769577
50,0.2428,48.84,15.04,42.64,17.07,-5.31,-20.6,1.2,1.2,3.04,8.81,14.75,2020-12-02,30.605064392089844,19201.091796875,598.3523559570312,16.17,0.0,0.5053125,0.012431408619220985,0.016807118316381264,3.3333333333333215,4.8197368421052635,8.153070175438586,-7.910270175438586
51,0.2426,49.39,15.25,43.29,17.07,-5.37,-20.85,1.22,1.22,3.04,5.78,14.87,2020-12-03,30.502073287963867,19445.3984375,616.708740234375,18.57,0.0,0.5803125,-0.003370840316084145,0.01652930195121058,3.442622950819686,4.874013157894737,8.316636108714423,-8.074036108714424
52,0.2431,49.88,15.46,43.94,17.07,-5.52,-21.06,1.23,1.23,3.05,10.18,14.94,2020-12-04,29.122169494628906,18699.765625,569.3541870117188,16.81,0.0,0.5253125,-0.046294935528259806,0.008163310639160953,3.4146341463414775,4.906229508196722,8.320863654538199,-8.077763654538199
53,0.245,50.36,15.66,44.59,17.07,-5.67,-21.28,1.25,1.25,3.05,9.79,15.04,2020-12-05,29.878196716308594,19154.23046875,596.595458984375,16.36,0.0,0.51125,0.025629285154259662,0.01612938192988364,3.1999999999999886,4.95344262295082,8.15344262295081,-7.908442622950809
54,0.2447,50.87,15.87,45.23,17.07,-5.78,-21.52,1.27,1.27,3.06,6.72,15.15,2020-12-06,29.360336303710938,19345.12109375,601.9089965820312,17.09,0.0,0.5340625,-0.017484349416830636,0.015873349156290156,3.3070866141732136,4.987254901960784,8.294341516133997,-8.049641516133997
55,0.2451,51.34,16.08,45.88,17.07,-5.95,-21.74,1.29,1.29,3.06,7.08,15.24,2020-12-07,30.49172019958496,19191.630859375,591.8433837890625,16.83,0.0,0.5259375,0.03781051972617622,0.015625317903080832,3.255813953488358,5.033333333333333,8.289147286821692,-8.04404728682169
56,0.246,51.8,16.29,46.53,17.07,-6.13,-21.95,1.3,1.3,3.07,8.44,15.32,2020-12-08,29.977901458740234,18321.14453125,554.8277587890625,17.19,0.0,0.5371875,-0.016994685709167623,0.007722046093910306,3.2307692307692437,5.061889250814332,8.292658481583576,-8.046658481583576
57,0.2468,52.29,16.51,47.18,17.07,-6.27,-22.19,1.32,1.32,3.08,7.43,15.43,2020-12-09,30.498098373413086,18553.916015625,573.4791259765625,17.68,0.0,0.5525,0.017203841073148318,0.015267472130788495,3.33333333333337,5.093181818181818,8.426515151515188,-8.179715151515188
58,0.2469,52.71,16.72,47.83,17.07,-6.48,-22.43,1.34,1.34,3.08,7.75,15.52,2020-12-10,30.60685157775879,18264.9921875,559.6785278320312,17.09,0.0,0.5340625,0.0035595584076895115,0.015037877364540486,3.1343283582089145,5.134090909090909,8.268419267299823,-8.021519267299823
59,0.2477,53.14,16.94,48.47,17.07,-6.69,-22.66,1.34,1.34,3.09,13.34,15.56,2020-12-11,30.0129337310791,18058.904296875,545.79736328125,17.11,0.0,0.5346875,-0.019595478540576305,0.0,3.2835820895522745,5.159223300970874,8.442805390523148,-8.195105390523148
60,0.2488,53.59,17.16,49.12,17.07,-6.87,-22.89,1.37,1.37,3.09,6.05,15.71,2020-12-12,30.068363189697266,18803.65625,568.5673217773438,17.03,0.0,0.5321875,0.0018451490625239764,0.022141125877213563,3.2116788321167715,5.202912621359224,8.414591453475996,-8.165791453475997
61,0.2478,54.04,17.38,49.77,17.07,-7.05,-23.12,1.39,1.39,3.1,4.92,15.81,2020-12-13,30.087234497070312,19142.3828125,589.6632080078125,16.88,0.0,0.5275,0.0006274165237414309,0.014493007302566696,3.1654676258992644,5.2296774193548385,8.395145045254104,-8.147345045254104
62,0.2484,54.47,17.6,50.42,17.07,-7.27,-23.35,1.4,1.4,3.11,9.67,15.86,2020-12-14,29.442977905273438,19246.64453125,586.0111694335938,16.8,0.0,0.525,-0.02164553829143534,0.007168489478612594,3.1428571428571774,5.254340836012861,8.397197978870038,-8.148797978870038
63,0.25,54.91,17.82,51.07,17.07,-7.48,-23.56,1.42,1.42,3.11,4.19,15.97,2020-12-15,29.19156837463379,19417.076171875,589.3555908203125,16.9,0.0,0.528125,-0.00857552713555565,0.014184634991956435,3.098591549295759,5.296784565916399,8.395376115212159,-8.145376115212159
64,0.2499,55.36,18.04,51.71,17.07,-7.67,-23.79,1.43,1.43,3.12,7.99,16.05,2020-12-16,28.561220169067383,21310.59765625,636.1818237304688,16.73,0.0,0.5228125,-0.021830053717981635,0.007017572658646554,3.076923076923061,5.323076923076923,8.399999999999984,-8.150099999999984
65,0.2506,55.84,18.26,52.36,17.07,-7.84,-24.02,1.45,1.45,3.12,8.27,16.14,2020-12-17,28.563356399536133,22805.162109375,642.8689575195312,16.5,0.04,0.516875,7.47919931511909e-05,0.013889112160667128,3.0344827586207233,5.369230769230769,8.403713527851492,-8.153113527851492
66,0.251,56.4,18.43,53.01,17.07,-7.93,-24.17,1.12,1.12,3.13,242.24,16.25,2020-12-18,28.489696502685547,23137.9609375,654.8119506835938,12.6,0.08,0.39625,-0.0025821558718082116,-0.2582348711254797,3.0357142857142523,5.405750798722044,8.441465084436297,-8.190465084436298
